SYMBOL,DATE1,LAST_PRICE
GRWRHITECH,26-Oct-2023,1417.95
GSEC10YEAR,26-Oct-2023,25.25
GSFC,26-Oct-2023,190.45
GSLSU,26-Oct-2023,204.65
GSPL,26-Oct-2023,274.90
GSS,26-Oct-2023,195.00
GTLINFRA,26-Oct-2023,0.90
GTPL,26-Oct-2023,153.00
GUFICBIO,26-Oct-2023,248.80
GUJALKALI,26-Oct-2023,698.10
GUJGASLTD,26-Oct-2023,404.60
GULFOILLUB,26-Oct-2023,574.95
GULPOLY,26-Oct-2023,204.50
HAL,26-Oct-2023,1822.00
HAPPSTMNDS,26-Oct-2023,813.00
HARDWYN,26-Oct-2023,36.85
HARIOMPIPE,26-Oct-2023,619.00
HARRMALAYA,26-Oct-2023,138.60
HARSHA,26-Oct-2023,380.00
HATHWAY,26-Oct-2023,17.80
HATSUN,26-Oct-2023,1130.00
HAVELLS,26-Oct-2023,1270.95
HBLPOWER,26-Oct-2023,271.55
HBSL,26-Oct-2023,51.95
HCC,26-Oct-2023,25.00
HCG,26-Oct-2023,360.00
HCLTECH,26-Oct-2023,1230.85
HDFCAMC,26-Oct-2023,2720.00
HDFCBANK,26-Oct-2023,1462.45
HDFCBSE500,26-Oct-2023,27.93
HDFCGOLD,26-Oct-2023,53.43
HDFCGROWTH,26-Oct-2023,97.16
HDFCLIFE,26-Oct-2023,607.20
HDFCLIQUID,26-Oct-2023,999.99
HDFCLOWVOL,26-Oct-2023,14.90
HDFCMID150,26-Oct-2023,14.99
HDFCMOMENT,26-Oct-2023,22.60
HDFCNEXT50,26-Oct-2023,45.80
HDFCNIF100,26-Oct-2023,19.79
HDFCNIFBAN,26-Oct-2023,445.00
HDFCNIFIT,26-Oct-2023,309.99
HDFCNIFTY,26-Oct-2023,206.70
HDFCPVTBAN,26-Oct-2023,221.13
HDFCQUAL,26-Oct-2023,44.05
HDFCSENSEX,26-Oct-2023,703.39
HDFCSILVER,26-Oct-2023,70.45
HDFCSML250,26-Oct-2023,119.95
HDFCVALUE,26-Oct-2023,105.90
HEADSUP,26-Oct-2023,12.25
HEALTHY,26-Oct-2023,9.76
HECPROJECT,26-Oct-2023,46.05
HEG,26-Oct-2023,1575.00
HEIDELBERG,26-Oct-2023,184.20
HEMIPROP,26-Oct-2023,132.70
HERANBA,26-Oct-2023,349.50
HERCULES,26-Oct-2023,298.00
HERITGFOOD,26-Oct-2023,211.85
HEROMOTOCO,26-Oct-2023,3119.20
HESTERBIO,26-Oct-2023,1655.50
HEUBACHIND,26-Oct-2023,422.00
HEXATRADEX,26-Oct-2023,143.20
HFCL,26-Oct-2023,63.35
HGINFRA,26-Oct-2023,904.00
HGS,26-Oct-2023,941.35
HIKAL,26-Oct-2023,270.00
HIL,26-Oct-2023,2754.90
HILTON,26-Oct-2023,143.10
HIMATSEIDE,26-Oct-2023,135.80
HINDALCO,26-Oct-2023,457.00
HINDCOMPOS,26-Oct-2023,396.00
HINDCOPPER,26-Oct-2023,140.50
HINDMOTORS,26-Oct-2023,15.40
HINDOILEXP,26-Oct-2023,162.40
HINDPETRO,26-Oct-2023,242.45
HINDUNILVR,26-Oct-2023,2470.45
HINDWAREAP,26-Oct-2023,490.00
HINDZINC,26-Oct-2023,294.90
HIRECT,26-Oct-2023,411.00
HITECH,26-Oct-2023,95.55
HITECHCORP,26-Oct-2023,263.00
HITECHGEAR,26-Oct-2023,381.95
HLEGLAS,26-Oct-2023,500.00
HLVLTD,26-Oct-2023,19.20
HMAAGRO,26-Oct-2023,673.95
HMVL,26-Oct-2023,78.90
HNDFDS,26-Oct-2023,519.50
HNGSNGBEES,26-Oct-2023,258.25
HOMEFIRST,26-Oct-2023,904.10
HONAUT,26-Oct-2023,36207.60
HONDAPOWER,26-Oct-2023,2751.05
HOVS,26-Oct-2023,52.00
HPAL,26-Oct-2023,441.00
HPL,26-Oct-2023,188.20
HSCL,26-Oct-2023,234.80
HTMEDIA,26-Oct-2023,24.40
HUBTOWN,26-Oct-2023,52.85
HUDCO,26-Oct-2023,74.25
HUHTAMAKI,26-Oct-2023,290.00
IBREALEST,26-Oct-2023,71.25
IBULHSGFIN,26-Oct-2023,154.30
ICEMAKE,26-Oct-2023,649.90
ICICI10GS,26-Oct-2023,216.80
ICICI500,26-Oct-2023,27.83
ICICI5GSEC,26-Oct-2023,53.18
ICICIALPLV,26-Oct-2023,198.00
ICICIAUTO,26-Oct-2023,162.10
ICICIB22,26-Oct-2023,73.00
